LAMMPS data file via write_data, version 28 Mar 2023, timestep = 1000

68600 atoms
4 atom types

0 200 xlo xhi
0 200 ylo yhi
-18.784091008084477 76.80180110425343 zlo zhi

Masses

1 63.55
2 63.55
3 63.55
4 63.55

Atoms # atomic

3955 1 1.910881180469367 0.15162720206047145 1.439520568855026 0 0 0
3957 1 1.1079815918925233 2.575053735273385 1.4450581322901188 0 0 0
3953 1 5.360673032413132 1.3488304288897863 1.4451204731940528 0 0 0
3961 1 8.80101463081242 2.5374342069401514 1.446007071517256 0 0 0
883 1 32.011474711729925 2.552898882680766 1.4938549963668624 0 0 0
920 1 33.498106592281644 0.4649096799788392 1.5075608186878229 0 0 0
960 1 37.974564746636766 0.826600535707344 1.4332527315503483 0 0 0
1002 1 42.40354602066977 1.2438355281034095 1.3549379437751672 0 0 0
1043 1 46.804890892735465 1.5458098553845272 1.3392203890440624 0 0 0
3956 1 0.30262784432757656 4.996641167780301 1.4505316787156384 0 0 0
3965 1 4.563038505345778 3.7789548052227206 1.4541642066937535 0 0 0
3960 1 8.011234041766826 4.986534574403035 1.4591478906576072 0 0 0
3927 1 14.746326251714569 3.64253268715961 1.449057247561112 0 0 0
3972 1 12.205321170356365 3.7058367977038773 1.4434632016750102 0 0 0
3926 1 17.29637812079057 3.58540625280784 1.443475694373494 0 0 0
3936 1 19.84608252122146 3.5179364945382514 1.4338763981971787 0 0 0
3938 1 22.388390482715597 3.393819729060081 1.3869585574083487 0 0 0
3937 1 24.964199865226263 3.2459206700243657 1.3291746827588788 0 0 0
3952 1 27.635697361377495 3.0185954973356734 1.460027267379058 0 0 0
884 1 30.67928661991164 4.735289260703216 1.4217708001685783 0 0 0
916 1 34.80377918424449 4.8156418049456455 1.3413011583800893 0 0 0
915 1 36.379552314347 2.803185975353497 1.4014963628070993 0 0 0
955 1 40.750608526713464 3.2137578043692314 1.358159753275515 0 0 0
956 1 39.06792522979365 5.187122721670867 1.3520681251024862 0 0 0
998 1 43.46589708460578 5.534602734954265 1.3533454958944724 0 0 0
997 1 45.14860911942814 3.5468371061970987 1.3393433253216258 0 0 0
1039 1 49.55185811644097 3.8457096584630297 1.3525665307123012 0 0 0
3966 1 2.9456951442113026 8.618384874333385 1.4565737563562102 0 0 0
3967 1 3.7591058866844986 6.201240478421657 1.461400152344234 0 0 0
3978 1 7.222778407568117 7.427639736559289 1.4817752856651027 0 0 0
3973 1 10.648480359947365 8.653991640671881 1.4843816901373947 0 0 0
3974 1 11.431439840218715 6.172116247927033 1.4537751981494629 0 0 0
3989 1 14.794830850961748 7.295707300012732 1.427948735859073 0 0 0
3933 1 17.362775673899424 7.228876203180743 1.420901194482694 0 0 0
3932 1 19.947896037998426 7.171279084603107 1.4099332185410494 0 0 0
3948 1 22.552133065557584 7.136622998267877 1.4401670749515847 0 0 0
3949 1 25.078969788278457 6.8467678464789685 1.3632531365734433 0 0 0
